English,Thai,Classifier,Type,,,,,
how many days?,กี่วัน,,Adv,,,,,
"sport(s), athletics",กีฬา,"ชนิต, อย่าง",N,,,,,
"prawn, shrimp",กุ้ง,ตัว,N,,,,,
"key, lock",กุญแจ,ดอก,N,,,,,
February,กุมภาพันธ์,,N,,,,,
rose,กุหลาบ,ดอก,N,,,,,
fake,เก๊,,Adj,,,,,
"expert, skillful (at doing something)",เก่ง,,Adj,,,,,
"to collect, keep, store",เก็บ,,V,,,,,
to save money,เก็บเงิน,,V,,,,,
to clear the table,เก็บโต๊ะ,,V,,,,,
"to be (too) courteous, considerate, afraid of offending",เกรงใจ,,Adj,,,,,
to hate,เกลียด,,V,,,,,
salt,เกลือ,เม็ด,N,,,,,
to retire,เกษียณ,,V,,,,,
"to scratch, scrape",เกา,,V,,,,,
"old (of things), former, previous",เก่า,,Adj,,,,,
nine (9),เก้า ๙,,N,,,,,
ninety (90),เก้าสิบ,,N,,,,,
ninety-one (91),เก้าสิบเอ็ด,,N,,,,,
"Korea, Korean ",เกาหลี ,,N,,,,,
South Korea,เกาหลีใต้,,N,,,,,
chair,เก้าอี้,ตัว,N,,,,,
"island, isle",เกาะ,"เกาะ, แห่ง",N,,,,,
to be born,เกิด,,V,,,,,
to occur,เกิดขึ้น,,V,,,,,
"far, too much, over, more, further",เกิน,,Adj,,,,,
"too much, excessively",เกินไป,,Adj,,,,,
"about, relating to, concerning",เกี่ยวกับ,,Prep,,,,,
"nearly, almost, shortly, closely",เกือบ,,Adv,,,,,
"he, she, they (third person), you -  for children, intimates, of equal status",แก,,Pronoun,,,,,
"to be old (opposite of young); dark (color), to, for",แก่,,Adj,,,,,
"to repair, mend fix (a problem) + object",แก้,,V,,,,,
to revise,แก้ไข,,V,,,,,
amend,แก้ไขเพิ่มเติม,,V,,,,,
curry,แกง,อย่าง,N,,,,,
green curry,แกงเขียวหวาน,"ถุง, ถ้วย",N,,,,,
massaman curry,แกงมัสมั่น,,N,,,,,
yellow curry,แกงเหลือง,,N,,,,,
"excuse oneself, make excuses ",แก้ตัว,,V,,,,,
cheek,แก้ม,แก้ม,N,,,,,
"to tease, bully, trick",แกล้ง,,V,,,,,
"glass, cup, crystal; parrot",แก้ว,ใบ,N,,,,,
wine glass,แก้วไวน์,,N,,,,,
sheep,แกะ,ตัว,N,,,,,
to sculpt (carve),แกะสลัก,,V,,,,,
"deceitful, cheat",โกง,,Adj,,,,,
to shave,โกน,,V,,,,,
to get a shave,โกนหนวด,,V,,,,,
angry,โกรธ,,Adj,,,,,
to lie,โกหก,,V,,,,,
"to be near, close",ใกล้,,"Adj, Adv, Prep",,,,,
quite near,ใกล้ๆ,,"Adj, Adv",,,,,
near each other (in this instance),ใกล้ๆกัน,,Adv,,,,,
near each other (in this instance),ใกล้กัน ,,Adv,,,,,
nearly,ใกล้จะ,,Adv,,,,,
"nearly, almost, just about",ใกล้จะหมดอายุ,,Adv,,,,,
"chicken, hen, cock",ไก่,ตัว,N,,,,,
turkey,ไก่งวง,ตัว,N,,,,,
far,ไกล,,Adj,,,,,
while,ขณะที่,,Adv,,,,,
present time,ขณะนี้,,Adv,,,,,
"hair, fur, feather, wool, down",ขน,เส้น,N,,,,,
eyelash,ขนตา,เส้น,N,,,,,
"pastry, sweets, dessert",ขนม,อย่าง,N,,,,,
Thai vermicelli,ขนมจีน,จับ,N,,,,,
bread,ขนมปัง,"แผ่น, ก้อน",N,,,,,
"to transport, bus station (transport send)",ขนส่ง,,V,,,,,
size,ขนาด,,N,,,,,
jackfruit,ขนุน,"ใบ, ลูก",N,,,,,
bitter,ขม,,Adj,,,,,
turmeric,ขมิ้น,หัว,N,,,,,
"to steal, thief, robber",ขโมย,,V,,,,,
"rubbish, trash",ขยะ,ชิ้น,N,,,,,
hardworking,ขยัน,,Adj,,,,,
to expand,ขยาย,,V,,,,,
bottle; classifier for things in bottles,ขวด,ใบ,N,,,,,
to scratch (painfully),ข่วน,,V,,,,,
"year, of age (for people under 14 years)",ขวบ,,"N, Class",,,,,
right (side),ขวา,,Adj,,,,,
axe,ขวาน,ด้าม,N,,,,,
"to request, ask",ขอ,,V,,,,,
"item, provision, clause, point, section",ข้อ,,N,,,,,
message,ข้อความ,ข้อความ,N,,,,,
"of, belonging to",ของ,,Adv,,,,,
present,ของขวัญ,ชิ้น,N,,,,,
"hers, his",ของเขา,,Adj,,,,,
"your, yours",ของคุณ,,Adj,,,,,
whose,ของใคร,,Adj,,,,,
real thing,ของจริง,,Adj,,,,,
"my, mine (female)",ของฉัน,,Adj,,,,,
"appliance, utensils, wares",ของใช้,"ชิ้น, อย่าง",N,,,,,
products made outside of Thailand or in country,ของนอก,,N,,,,,
false/fake thing,ของปลอม,ชิ้น,Adj,,,,,
"my, mine (m)",ของผม,,Adj,,,,,
"their, theirs",ของพวกเขา,,Adj,,,,,
dessert,ของหวาน,ชนิด,N,,,,,
to invite,ขอเชิญ,,V,,,,,
to ask to give way,ขอทาง,,V,,,,,
ankle,ข้อเท้า,,N,,,,,
"excuse me, I'm sorry",ขอโทษ,,Adv,,,,,
"side, border, edge, rim",ขอบ,,N,,,,,
thank you,ขอบคุณ,,Adv,,,,,
"""thank you"" (superior to inferior)",ขอบใจ,,Adv,,,,,
Khmer,ขอม,,N,,,,,
wrist,ข้อมือ,,N,,,,,
"data, information",ข้อมูล,,N,,,,,
to borrow,ขอยืม,,V,,,,,
to implore,ขอร้อง,,V,,,,,
elbow,ข้อศอก,,N,,,,,
(I) wish you ...,ขอให้,,V,,,,,
"to go against, cross, be opposed to, contravene",ขัด,,V,,,,,
"amusingly, funnily, ridiculously, absurdly; bowl, water dipper",ขัน,ใบ,N,,,,,
to drive (a car),ขับ,,V,,,,,
to drive (a car),ขับรถ,,V,,,,,
leg,ขา,ขา,N,,,,,
galangal,ข่า,หัว,N,,,,,
jaw,ขากรรไกร,ชี่,N,,,,,
"next to (something or someone), beside",ข้างๆ,,Adv,,,,,
right (hand) side,ข้างขวา (มือ),,Adv,,,,,
outside,ข้างนอก,,Adv,,,,,
inside,ข้างใน,,Adv,,,,,
"above, on, on top of, above, upstairs",ข้างบน,,Adv,,,,,
"below, beneath, under, the area below",ข้างล่าง,,Adv,,,,,
"in front of, ahead",ข้างหน้า,,Adv,,,,,
behind,ข้างหลัง,,Adv,,,,,
"to be torn, broken, lacking",ขาด,,Adj,,,,,
"to skip, jump over, cross",ข้าม,,V,,,,,
to sell,ขาย,,V,,,,,
to sell things,ขายของ,,V,,,,,
to sell wholesale,ขายส่ง,,V,,,,,
"government officer, government employee",ข้าราชการ,คน,N,,,,,
"information, news",ข่าว,ชิ้น,N,,,,,
rice ,ข้าว,เม็ด,N,,,,,
white rice,ข้าวขาว,เม็ด,N,,,,,
breakfast,ข้าวเช้า,,N,,,,,
lunch,ข้าวเที่ยง,,N,,,,,
fried rice,ข้าวผัด,,N,,,,,
"corn, maize",ข้าวโพด,ฝัก,N,,,,,
"rice, steamed rice",ข้าวสวย,,N,,,,,
wheat,ข้าวสาลี,,N,,,,,
cooked rice,ข้าวสุก,,N,,,,,
jasmine rice,ข้าวหอมมะลิ,,N,,,,,
sticky rice,ข้าวเหนียว,,N,,,,,
to be attractive and charming,ขำ,,Adj,,,,,
ginger,ขิง,"แง่ง, หัว",N,,,,,
"to be astride, straddle, ride; drive, operate, ride",ขี่,,V,,,,,
"poop, characterised by",ขี้,ก้อน,N,,,,,
to be lazy,ขี้เกียจ,,Adj,,,,,
"to scratch, 100 grams",ขีด,,V,,,,,
"a drunkard, an alcoholic",ขี้เมา,,Adj,,,,,
"to be stingy, sticky excrement",ขี้เหนียว,,Adj,,,,,
shy,ขี้อาย,,Adj,,,,,
"to go up, get on",ขึ้น,,V,,,,,
"to depend on, rely on",ขึ้นอยู่,,V,,,,,
cash a check,ขื้นเงิน,,V,,,,,
to dig,ขุด,,V,,,,,
to scrape off,ขูด,,V,,,,,
district (Bangkok),เขต,,N,,,,,
needle,เข็ม,ด้าม,N,,,,,
"safety pin, brooch",เข็มกลัด,,N,,,,,
belt,เข็มขัด,เสัน,N,,,,,
"dynamic, (as leader)",เข้มแข็ง,,Adj,,,,,
syringe,เข็มฉีดยา,เข็ม,N,,,,,
"Cambodia, Cambodian ",เขมร ,,N,,,,,
knees,เข่า,เข่า,N,,,,,
to enter,เข้า,,V,,,,,
"she, he, him, her, they","เขา, เค้า",,Pronoun,,,,,
harmonize (as colours),เข้ากัน,,Adj,,,,,
to understand,เข้าใจ,,V,,,,,
misunderstood,เข้าใจผิด,,Adj,,,,,
to understand that,เข้าใจว่า,,V,,,,,
to go to bed,เข้านอน,,V,,,,,
to enter,เข้าไป,,V,,,,,
enter,เข้ามา,,V,,,,,
"themselves, ourselves",เขาเอง,,Adj,,,,,
to lacquer ,เขิน,,Adj,,,,,
"to remove, throw away; to stir, scratch",เขี่ย,,V,,,,,
chopping board,เขียง,เขียง,N,,,,,
to write,เขียน,,V,,,,,
incisor,เขี้ยว,,N,,,,,
"guests, dark skinned people (Indians, Muslims, etc)",แขก,คน,N,,,,,
to be hard (not soft),แข็ง,,Adj,,,,,
to compete,แข่งขัน,,V,,,,,
strong,แข็งแรง,,Adj,,,,,
"arm, sleeve",แขน,"แขน, ข้าง",N,,,,,
to hang,แขวน,,V,,,,,
"animal fat, tallow; unlock, to wind a clock",ไข,,V,,,,,
eggs,ไข่,ฟอง,N,,,,,
fever ,ไข้,,N,,,,,
scrambled egg,ไข่กวน,,N,,,,,
omelette,ไข่เจียว,ฟอง,N,,,,,
fried eggs,ไข่ดาว,ฟอง,N,,,,,
yolk,ไข่แดง,ลูก,N,,,,,
boiled eggs,ไข่ต้ม,ลูก,N,,,,,
steamed egg,ไข่ตุ๋น,ลูก,N,,,,,
grilled egg,ไข่ปิ้ง,ลูก,N,,,,,
stuffed omelet,ไข่ยัดไส้,ลูก,N,,,,,
very soft boiled eggs,ไข่ลวก,ลูก,N,,,,,
dengue fever,ไข้เลือดออก,,N,,,,,
"flu, cold (to have)",ไข้หวัด,,N,,,,,
flu,ไข้หวัดใหญ่,,N,,,,,
"something, things, stuff, possessions",ฃอง,ช้น,N,,,,,
"most likely, sure to, bound to",คง,,Adv,,,,,
probably,คงจะ,,Adv,,,,,
"faculty, school, branch of study, department; group, party",คณะ,,N,,,,,
"committee, commission",คณะกรรมการ,คน,N,,,,,
math,คณิตศาสตร์,,N,,,,,
"case, lawsuit ",คดี,คดี,N,,,,,
"person, classifier for person",คน,คน,N,,,,,
"search (for something/someone), look (for something/someone)",ค้น,,V,,,,,
"chauffeur, driver",คนขับรถ,คน,N,,,,,
vendor,คนขาย,คน,N,,,,,
salesman,คนขายของ,คน,N,,,,,
patient,คนไข้,คน,N,,,,,
workman,คนงาน,คน,N,,,,,
servant,คนใช้,คน,N,,,,,
"alone, one person",คนเดียว,,Adv,,,,,
passenger,คนโดยสาร,คน,N,,,,,
foreigner,คนต่างประเทศ,,N,,,,,
oldest one (of children),คนโต,,N,,,,,
Thai person,คนไทย,คน,N,,,,,
"that person, those people (further away)",คนนั้น,คน,Pronoun,,,,,
"this person, these people (near you)",คนนี้,คน,Pronoun,,,,,
"that person, those people (way over there)",คนโน้น,คน,Pronoun,,,,,
insider,คนใน,,N,,,,,
these people,คนพวกนี้,คน,Pronoun,,,,,
European,คนยุโรป,คน,N,,,,,
youngest one (of children),คนเล็ก,,N,,,,,
youngest one (of children),คนสุดท้าย,,N,,,,,
"single person, bachelor, spinster",คนโสด,,N,,,,,
one person,คนหนึ่ง ,,N,,,,,
to search,ค้นหา,,V,,,,,
to be sharp,คม,,Adj,,,,,
mortar,ครก,ใบ,N,,,,,
"complete (in quantity), to include all the members of a limited set of items",ครบ,,Adv,,,,,
family,ครอบครัว,ครอบครัว,N,,,,,
"times, occasions; classifier for time",ครั้ง ,,Adv,,,,,
the second time,ครั้งที่สอง,,Adv,,,,,
this time,ครั้งนี้,,Adv,,,,,
first time,ครั้งแรก,,Adv,,,,,
"polite particle (male), yes",ครับ,,Particle,,,,,
kitchen,ครัว,"ห้อง, แห่ง, ที่",N,,,,,
time(s) (occasion),คราว,,Adv,,,,,
next time,คราวหน้า,,Adv,,,,,
cream,ครีม,,N,,,,,
half,ครึ่ง,,Adj,,,,,
one half,ครึ่งหนึ่ง,,Adj,,,,,
teacher,ครู,คน,N,,,,,
"short period of time, a while",ครู่,,Adv,,,,,
coach,ครูฝึก,คน,N,,,,,
canal,คลอง,คลอง,N,,,,,
to give birth,คลอดลูก,,V,,,,,
to look like,คล้ายกัน,,Adv,,,,,
"should, ought to",ควร,,"V, Aux",,,,,
should,ควรจะ,,"V, Aux",,,,,
"prefix: -ness,-ity",ความ,,Prefix,,,,,
idea,ความคิด,,N,,,,,
opinion,ความคิดเห็น,,N,,,,,
"truthfully, actually",ความจริง,,N,,,,,
belief,ความเชื่อ,,N,,,,,
love,ความรัก,,N,,,,,
knowledge,ความรู้,,N,,,,,
feeling,ความรู้สึก,,N,,,,,
speed,ความเร็ว,,N,,,,,
importance,ความสำคัญ,,N,,,,,
success,ความสำเร็จ,,N,,,,,
happiness,ความสุข,,N,,,,,
height,ความสูง,,N,,,,,
meaning,ความหมาย,,N,,,,,
infatuation,ความหลง,,N,,,,,
opinion,ความเห็น,,N,,,,,
lust,ความอยาก - ตัณหา,,N,,,,,
water buffalo,ควาย,ตัว,N,,,,,
"neck, throat, collar",คอ,คอ,N,,,,,
hammer,ค้อน,,N,,,,,
rather,ค่อนข้าง,,Adv,,,,,
computer (loanwordl),คอม,,N,,,,,
computer (loanword),คอมพิวเตอร์,เครื่อง,N,,,,,
to wait,คอย,,V,,,,,
"softly, low (of sound)",ค่อย,,Adv,,,,,
"polite particle (female), question by a female",คะ,,Particle,,,,,
"polite particle, statement by a female",ค่ะ,,Particle,,,,,
"grade, score point(s)",คะแนน,,N,,,,,
"classifier for cars, and other transportations",คัน,คัน,Class,,,,,
to squeeze,คั้น,,V,,,,,
tight,คับ,,Adj,,,,,
"fee, cost, price, value",ค่า,,N,,,,,
"trade, engage, in trade",ค้า,,V,,,,,
trade,ค้าขาย,,V,,,,,
chin,คาง,คาง,N,,,,,
stay overnight,ค้างคืน,,V,,,,,
"wage, wages, pay",ค่าจ้าง,,N,,,,,
rent,ค่าเช่า,,N,,,,,
costs,ค่าใช้จ่าย,,N,,,,,
"to bind, fasten, tie",คาด,,V,,,,,
fare,ค่าโดยสาร,,N,,,,,
fee,ค่าธรรมเนียม,,N,,,,,
camp,ค่าย,"แห่ง, ค่าย",N,,,,,
carfare,ค่ารถ,,N,,,,,
word,คำ,คำ,N,,,,,
6 pm  - 7pm,ค่ำ,,Adj,,,,,
answer,คำตอบ,คำตอบ,N,,,,,
question,คำถาม,คำถาม,N,,,,,
to calculate,คำนวณ,,V,,,,,
to consider,คำนึงถึง  - คำนึง,,V,,,,,
Sunday night,ค่ำวันอาทิตย์,,Adj,,,,,
vocabulary,คำศัพท์,คำ,N,,,,,
"to think, think of, figure or reckon",คิด,,V,,,,,
"consider, think about ",คิดดู,,V,,,,,
to think about someone (to miss someone),คิดถึง,,V,,,,,
homesick,คิดถึงบ้าน,,V,,,,,
to think that ...,คิดว่า,,V,,,,,
eyebrow,คิ้ว,คิ้ว,N,,,,,
bus station (transportation queue),คิวรถ,,N,,,,,
"night, to return something borrowed",คืน,,V,,,,,
tonight,คืนนี้,,Adj,,,,,
"to be, is, am, are, mean ( formal, written) ",คือ,,V,,,,,
jail,คุก,แห่ง,N,,,,,
"you, คุณ + name",คุณ,,Pronoun,,,,,
parents (polite usage),คุณพ่อคุณแม่, คน,Pronoun,,,,,
quality,คุณภาพ,,N,,,,,
"and you, what about you ",คุณล่ะ,,Phrase,,,,,
qualifications,คุณสมบัติ,,N,,,,,
yourself,คุณเอง,,Adv,,,,,
to be worthwhile,คุ้ม,,V,,,,,
"to talk, to converse; to brag, boast, swagger, bluster",คุย,,V,,,,,
chat together,คุยกัน,,V,,,,,
pair,คู่,,Adv,,,,,
multiply,คูณ,,V,,,,,
fiance,คู่หมั้น,ตน,N,,,,,
salty,เค็ม,,Adj,,,,,
to get used to,เคย,,Adv,,,,,
to get used to,เคยชิน,,Adv,,,,,
beard,เครา,,N,,,,,
network,เครือข่าย,,N,,,,,
"machine, tool, engine",เครื่อง,เครื่อง,N,,,,,
silverware,เครื่องเงิน,ชิ้น,N,,,,,
machinery,เครื่องจักร,เครื่อง,N,,,,,
washing machine,เครื่องซักผ้า,เครื่อง,N,,,,,
drinks,เครื่องดื่ม,ชนิด,N,,,,,
vacuum cleaner,เครื่องดูดฝุ่น,เครื่อง,N,,,,,
airplane,เครื่องบิน,เครื่อง,N,,,,,
typewriter,เครื่องพิมพ์ดีด,เครื่อง,N,,,,,
tool,เครื่องมือ,ชิ้น,N,,,,,
furniture (formal),เครื่องเรือน,ชิ้น,N,,,,,
"to move, displace, progress",เคลื่อน,,V,,,,,
to respect,เคารพ,,V,,,,,
to chew,เคี้ยว,,V,,,,,
"just, only, only a small amount",แค่,,Adv,,,,,
Canada,แคนาดา,,N,,,,,
narrow,แคบ,,Adj,,,,,
to care about,แคร์,,Adj,,,,,
carrot,แครอท,หัว,N,,,,,
"frame, skeleton",โครง,,N,,,,,
project,โครงการ,โครงการ,N,,,,,
structure,โครงสร้าง,แบบ,N,,,,,
"who, what (in some constructions)",ใคร,,Adv,,,,,
"to desire, wish",ใคร่,,V,,,,,
anyone,ใครก็ได้,,Pronoun,,,,,
anyone,ใครก็ตาม,,Pronoun,,,,,
someone,ใครคนหนึ่ง,,Pronoun,,,,,
to kill,ฆ่า,,V,,,,,
to advertise,โฆษณา,ตัว,V,,,,,
budget,งบประมาณ,ก้อน,N,,,,,
to be sleepy,ง่วง,,Adj,,,,,
to be sleepy,ง่วงนอน,,Adj,,,,,
to sprout,งอก,,V,,,,,
"in that case, so, then, therefore (shortened from ถ้ายังงั้น)",งั้น,,Conj,,,,,
ivory,งา,"กิ่ง, งา",N,,,,,
work,งาน,"ชิ้น, อย่าง",N,,,,,
wedding,งานแต่งงาน,งาน,N,,,,,
party (entertainment),งานเลี้ยง,งาน,N,,,,,
"be beautiful, be good-looking, be pretty",งาม,,Adj,,,,,
to be easy,ง่าย,,Adj,,,,,
snake,งู,ตัว,N,,,,,
green snake,งูเขียว,ตัว,N,,,,,
cobra,งูเห่า,ตัว,N,,,,,
rambuttan ,เงาะ,"ใบ, ลูก, ผล",N,,,,,
"money, silver",เงิน,บาท,N,,,,,
tea money,เงินกินเปล่า,บาท,N,,,,,
salary,เงินเดือน,บาท,N,,,,,
change (money returned),เงินทอน,บาท,N,,,,,
cash,เงินสด,บาท,N,,,,,
to be quiet,เงียบ,,Adj,,,,,
stupid,โง่,,Adj,,,,,
"how (form of อย่างไร, ยังไง)",ไง,,Adv,,,,,
"to write, record, take note, copy; to be contiguous, adjoin, border",จด,,V,,,,,
"to register, create an official record ",จดทะเบียน,,V,,,,,
"letter, mail",จดหมาย,ฉบับ,N,,,,,
"to be poor (in wealth); until, till",จน,,Adj,,,,,
until,จนกระทั่ง,,Conj,,,,,
until,จนกว่า,,Conj,,,,,
until,จนถึง,,Conj,,,,,
"drown, sink",จมน้ำ,,V,,,,,
flood,น้ำท่วม,,N,,,,,
nose,จมูก,จมูก,N,,,,,
alligator,จระเข้,ตัว,N,,,,,
"to be true, true, really",จริง,,Adj,,,,,
"true, really",จริงๆ,,Adj,,,,,
sincere,จริงใจ,,Adj,,,,,
to reserve,จอง,,V,,,,,
"to stop, to park",จอด,,V,,,,,
"will, shall, shows future tense",จะ,,"V, Aux",,,,,
"polite particle, confirmative",จ้ะ,,Particle,,,,,
tickles,จั็กจี้,,Adj,,,,,
"wheel, disc",จักร,ชิ้น,N,,,,,
bicycle,จักรยาน,คัน,N,,,,,
province,จังหวัด,จังหวัด,N,,,,,
to arrange,จัด,,V,,,,,
to manage,จัดการ,,V,,,,,
to seek,จัดหา,,V,,,,,
"Monday, moon",จันทร์,,N,,,,,
"to catch, grab",จับ,,V,,,,,
from,จาก,,Adv,,,,,
"to employ, hire",จ้าง,,V,,,,,
plate,จาน,ใบ,N,,,,,
dinner plate (informal),จานข้าว,ใบ,N,,,,,
saucer,จานรองถ้วย,ใบ,N,,,,,
"to pay, spend",จ่าย,,V,,,,,
to pay ,จ่ายเงิน,,V,,,,,
"to remember, recognize",จำ,,V,,,,,
to remember,จำ ….ได้,,V,,,,,
restrict,จำกัด,,V,,,,,
to remember,จำได้,,V,,,,,
amount,จำนวน,,N,,,,,
to be necessary,จำเป็น,,Adj,,,,,
house lizard,จิ้งจก,ตัว,N,,,,,
cricket,จิ้งหรีด,ตัว,N,,,,,
to mug,จี้,,V,,,,,
"China, Chinese ",จีน ,,N,,,,,
"to pleat, to flirt",จีบ,,V,,,,,
"so, therefore, consequently",จึง,,Conj,,,,,
"to be tasteless, bland",จืด,,Adj,,,,,
"to light + _ (eg, to light a fire, cigerette)",จุด,,V,,,,,
kiss,จูบ,,V,,,,,
to kiss on the mouth,จูบปาก,,V,,,,,
seven (7),เจ็ด,,N,,,,,
seventy (70),เจ็ดสิบ,,N,,,,,
"to hurt, be hurt",เจ็บ,,Adj,,,,,
sore throat,เจ็บคอ,,Adj,,,,,
to negotiate,เจรจา,,V,,,,,
"to prosper, grow, develop",เจริญ,,V,,,,,
meet with unexpectedly,เจอ,,V,,,,,
"to meet, encounter, see",เจอกัน,,V,,,,,
owner,เจ้าของ,คน,Pronoun,,,,,
